#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1691392227273549000,-0.000469881,0.00136733,-0.000302119,-0.170729,0.271981,-9.78974
1691392227282057100,-0.000773219,0.000127328,0.000477422,-0.260665,0.261469,-9.81501
1691392227290227900,-0.00215688,-0.00040992,-0.000280583,-0.18474,0.282002,-9.77936
1691392227298620100,-5.51706e-05,-0.000805734,0.000519419,-0.200512,0.296179,-9.80779
1691392227306907400,0.000896325,0.00137336,-0.00110018,-0.201339,0.269008,-9.78289
1691392227315253600,0.00079267,-0.00081082,0.000727218,-0.164186,0.314182,-9.85118
1691392227323535600,-0.00133153,-0.00131957,0.000209436,-0.164674,0.280063,-9.78641
1691392227331893900,0.00056542,0.000424145,-0.000564974,-0.204374,0.259366,-9.78664
1691392227340235800,0.00047274,-0.00112867,0.00124981,-0.185558,0.31076,-9.78622
1691392227348555900,0.000601224,0.00040982,0.000793353,-0.201716,0.27585,-9.81175
1691392227356901600,0.00161592,0.0005326,-0.000591232,-0.177153,0.263678,-9.80887
1691392227365266000,0.00160665,0.00107867,-0.00184879,-0.194209,0.269665,-9.74533
1691392227373556900,0.000563357,0.000414984,-0.00241528,-0.199447,0.247226,-9.81598
1691392227381895800,0.000347648,0.000344535,0.000924332,-0.206224,0.177009,-9.79128
1691392227390212500,-0.000501705,0.00127514,-0.000692512,-0.219174,0.23958,-9.79404
1691392227398659600,0.000254276,-0.00180006,0.0021252,-0.248508,0.282785,-9.77501
1691392227406869100,0.000826368,0.000277007,4.09758e-05,-0.187849,0.289429,-9.83628
1691392227415254800,0.000922827,0.000603725,0.000600288,-0.179041,0.296933,-9.76669
1691392227423549600,0.000868217,-0.000391984,-0.000425769,-0.191628,0.247382,-9.7937
1691392227431948500,-0.00150039,0.000249506,-0.000578234,-0.183026,0.248849,-9.77849
1691392227440251900,-0.00067466,0.000610564,-0.0012887,-0.193809,0.278794,-9.86232
1691392227448656000,-0.000735591,-0.000788801,0.000694508,-0.166293,0.297511,-9.78329
1691392227456946200,-0.000271958,0.000257342,-0.000310656,-0.197397,0.301122,-9.81249
1691392227465310500,0.000361606,9.20078e-05,-0.000891418,-0.200541,0.304138,-9.80184
1691392227473587500,0.00122064,-0.000594887,-0.00106343,-0.176495,0.230229,-9.78988
1691392227481981600,-0.000217705,-0.00181574,-0.000875302,-0.191811,0.233774,-9.77166
1691392227490270600,3.47437e-05,-0.000777024,0.000272877,-0.189551,0.233704,-9.79939
1691392227498661300,0.00251548,-0.000443419,-0.00155709,-0.194924,0.308795,-9.78409
1691392227506945900,0.000177891,0.000977971,-0.000606439,-0.21056,0.252306,-9.80158
1691392227515313800,-0.000531886,-0.000444543,4.43855e-07,-0.205223,0.237586,-9.79758
1691392227523569400,0.000621489,2.87772e-05,-0.00141708,-0.18989,0.293553,-9.77779
1691392227531984400,-0.000432261,0.000231478,-0.00172553,-0.197629,0.260935,-9.77788
1691392227540394600,-8.83629e-05,-0.000495573,-0.00133667,-0.181377,0.263317,-9.84682
1691392227548760100,-0.000264533,-0.000779138,-0.000776359,-0.252928,0.274971,-9.77174
1691392227556911400,0.00150929,-0.00133689,0.000576694,-0.206156,0.259057,-9.8031
1691392227565236700,-0.000448795,0.00200085,-0.00238734,-0.165983,0.315905,-9.82757
1691392227573543100,8.23869e-05,0.00214526,-0.00145556,-0.165242,0.254824,-9.77485
1691392227581927700,-0.000599557,-0.000573715,-1.68531e-05,-0.182797,0.24936,-9.85824
1691392227590293600,0.000589972,-0.000648126,0.00107807,-0.165738,0.270823,-9.79074
1691392227598647900,-0.000190508,-0.000278165,-0.000135716,-0.224549,0.257853,-9.76242
1691392227606947900,0.000746,-0.000562099,0.000344517,-0.236546,0.276252,-9.78713
1691392227615278000,0.000723428,0.000438185,-0.000676368,-0.202738,0.297384,-9.77704
1691392227623570200,0.00089071,-0.00151024,0.000138577,-0.19407,0.292395,-9.816
1691392227631891000,0.0002864,0.000394127,0.000821256,-0.229961,0.217495,-9.79259
1691392227640247100,-3.28286e-05,-0.000369315,-0.000638906,-0.222217,0.298999,-9.83329
1691392227648562100,0.000611997,-0.000227843,-0.00116295,-0.221741,0.290018,-9.82917
1691392227656869300,0.00015177,-0.000499729,0.000541935,-0.176324,0.272011,-9.78152
1691392227665254000,0.000826201,0.000135876,-0.000663185,-0.201447,0.279754,-9.80329
1691392227673553700,-0.000180595,0.000194688,0.000694735,-0.186363,0.248386,-9.78471
1691392227681971600,0.00155137,-0.000152517,0.000377065,-0.208642,0.251736,-9.78268
1691392227690285400,-0.000372495,0.000679337,-4.54428e-05,-0.196365,0.253737,-9.75425
1691392227698613800,8.25856e-05,-3.58724e-05,0.00131728,-0.199847,0.293519,-9.78331
1691392227706868500,-0.000122609,0.000252161,-0.000827333,-0.21757,0.228891,-9.80391
1691392227715279000,-0.000678113,0.000375248,0.00175548,-0.20472,0.249126,-9.7653
1691392227723521800,-0.000738766,-0.000161426,-0.000549963,-0.163593,0.278521,-9.81529
1691392227731925900,0.000123079,0.000920109,0.00126844,-0.179862,0.274902,-9.82393
1691392227740220300,3.21908e-06,-0.000424792,0.00114811,-0.226539,0.261318,-9.78675
1691392227748598900,0.00022206,0.000496413,-0.00105755,-0.208359,0.287295,-9.78269
1691392227756901500,5.26192e-05,-0.000230298,0.00262308,-0.245154,0.264744,-9.82857
1691392227765293200,-0.00141178,0.000107586,-0.00121975,-0.208302,0.266995,-9.7416
