#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1], b_w_RS_S_x [rad s^-1], b_w_RS_S_y [rad s^-1], b_w_RS_S_z [rad s^-1], b_a_RS_S_x [m s^-2], b_a_RS_S_y [m s^-2], b_a_RS_S_z [m s^-2]
1.6913922293068882e+18,0.414071,-0.0191478,0.540597,0.999748,-0.0188789,-0.00853649,-0.00862304,0.778912,-0.0255002,-0.0141058,-0.0185862,0.0442508,-0.00121317,-1.123,0.0260887,-0.0115263
1.6913922294152637e+18,0.493067,-0.0211065,0.539389,0.999746,-0.019781,-0.00633546,-0.00873718,0.662495,-0.022258,-0.011479,-0.0156935,0.0370268,-0.00122464,-1.02329,0.0310727,0.0275916
1.6913922295237222e+18,0.559907,-0.0228238,0.538442,0.99974,-0.0205449,-0.00454066,-0.0088427,0.559056,-0.0193483,-0.00868694,-0.0133176,0.029543,-0.00121791,-0.8951,0.0259084,0.0347005
1.6913922296320307e+18,0.616665,-0.0244718,0.538023,0.999741,-0.0207655,-0.00277767,-0.008896,0.474902,-0.0139027,-0.00280704,0.000694092,0.0337087,-0.000136347,-0.736493,0.0433577,0.0331825
1.6913922297486141e+18,0.668236,-0.0260019,0.537981,0.999746,-0.0206905,-0.00092599,-0.00894306,0.395248,-0.0118409,-0.00124351,0.00114589,0.0295557,-0.000120285,-0.633558,0.0139987,-0.0167719
1.6913922298568922e+18,0.708282,-0.0272568,0.538002,0.999747,-0.0206291,0.000518892,-0.00898112,0.33246,-0.0106126,-0.000756636,0.000832245,0.024188,-0.000152858,-0.534932,0.0137412,0.00845148
1.6913922299561544e+18,0.734679,-0.0281322,0.538017,0.999746,-0.0206045,0.00144926,-0.00900641,0.290857,-0.00999054,-0.000725417,9.65427e-05,0.0104783,-8.21715e-05,-0.236958,0.00408448,0.00133951
1.6913922300657882e+18,0.764771,-0.0294007,0.538688,0.999744,-0.0205786,0.00249493,-0.00903814,0.242244,-0.0110289,0.0019886,0.000302294,0.0195896,-0.000192387,-0.458732,-0.0060362,0.0922839
1.6913922301892908e+18,0.794962,-0.0307021,0.538026,0.999741,-0.0205585,0.00354493,-0.00906073,0.193239,-0.00908598,-0.00354556,0.00012146,0.0133878,0.00170394,-0.322401,-0.0622614,0.0595978
1.6913922302975388e+18,0.814453,-0.0310923,0.537901,0.999739,-0.0205472,0.00421039,-0.00907366,0.161482,-0.00313137,-0.00050748,0.00045107,0.0111954,1.44841e-05,-0.27109,0.00713006,0.0127352
1.6913922304058903e+18,0.83072,-0.0314094,0.537923,0.999736,-0.020539,0.00476245,-0.00908546,0.134659,-0.00262814,3.42937e-05,0.00038721,0.00943747,-6.02242e-05,-0.229279,0.00439356,0.0178627
1.6913922305142236e+18,0.844262,-0.0316785,0.537949,0.999734,-0.0205304,0.00522099,-0.00909519,0.111941,-0.00224165,-7.25061e-05,9.7988e-07,0.00775989,-9.15315e-08,-0.194127,0.00218967,0.0113766
1.69139223062267e+18,0.855502,-0.0319012,0.537966,0.999732,-0.0205292,0.00560413,-0.00910326,0.0927719,-0.00188135,-0.000176534,-0.000188562,0.00651377,1.26008e-05,-0.163208,0.00355862,-0.0103915
1.6913922307392138e+18,0.865449,-0.0321065,0.537972,0.99973,-0.0205233,0.00593857,-0.00911049,0.0755855,-0.00157891,-0.000205979,0.000256111,0.00512494,1.97968e-05,-0.13487,0.00133875,-0.0199672
